AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, ORIG_END_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
3,ABJ043_654,276,13650,16400,13644,16402,423.017,247.346,540.683,256,35000,5300, L,B772, SBGR, UNK, IAD,0,422.195,247.506,540.492,256.937,35000,5593,15950,15000,35000, n/a, ZDC,15190,13940,5300,10100,13650,13780,130,0.5461538461538461,209,280
7,ABJ072_493,114,63800,64930,63791,64936,267.7,240.6,641.05,526.774,30500,3425, L,B772, ZBAA, UNK, IAD,0,267.144,240.652,639.1,527.03,30210,3675,-1,64930,30500, n/a, ZDC,64180,63850,3425,30500,63800,64930,1130,0.19911504424778761,232,457
8,ABJ076_355,116,63910,65060,63903,65060,266.6,241.4,641.8,527.789,31100,2291, L,B772, RJAA, UNK, IAD,0,266.242,241.585,640.55,528.014,30925,2482,-1,65060,31100, n/a, ZDC,64300,63980,2291,31100,63910,65060,1150,0.23478260869565218,189,459
10,ABJ088_51Y,195,80000,81940,79999,81941,244.559,40.817,524.7,519.1,32000,3958, L,A320, LAX, DEP, IAD,0,244.101,41.941,524.691,519.191,32000,4432,-1,81280,32000, n/a, ZDC,81110,80210,3958,32000,80000,81260,1260,0.14761904761904762,224,410
15,ABJ126_70P,218,83890,86060,83883,86062,275.927,57.149,571.051,528.625,34000,7730, L,A319, ORD, DEP, BWI,0,275.476,57.807,570.353,528.732,34000,8170,-1,84820,34000, n/a, ZDC,85310,83930,7730,33900,83890,84780,890,0.22696629213483147,206,408
16,ABJ141_562,412,50050,54160,50049,54169,406.433,14.5,639.583,393,32000,7966, L,A320, IAH, OVR, LGA,0,405.817,15.228,639.405,393.277,32000,8573,-1,51170,32000, n/a, ZNY,53140,51150,7966,16900,50050,50290,240,0.37083333333333335,230,319
20,ABJ164_307,468,13540,18210,13533,18217,402.819,150.569,636.065,183.146,34000,3450, L,A320, MIA, OVR, EWR,0,402.608,150.968,635.756,183.927,34000,3750,-1,14970,34000, n/a, ZNY,17280,14060,3450,17000,13540,13900,360,0.5277777777777778,192,382
25,ABJ241_989,200,49360,51490,49352,51493,444.169,244.8,652.392,531.566,31000,6533, L,A320, BOS, DEP, IAD,0,443.391,245.108,651.688,532.273,31000,6982,-1,50400,31000, n/a, ZDC,50280,49520,6533,10000,49360,49440,80,0.775,211,273
26,ABJ250_162,202,47450,49460,47448,49464,246.834,54.338,558.815,519.123,38000,3900, Z,B752, ORD, DEP, IAD,0,246.476,55.087,558.371,519.356,38000,4386,-1,48460,38000, n/a, ZDC,48680,47500,3900,38000,47450,48440,990,0.2,199,397
30,ABJ269_54Y,204,63850,65880,63841,65882,247.202,52.484,556.383,517.442,34100,2725, L,A320, DEN, DEP, IAD,0,246.936,53.322,555.843,517.68,34088,2897,-1,65210,34000, n/a, ZDC,65160,64130,2725,34000,63850,65200,1350,0.15037037037037038,174,377
31,ABJ272_484,203,52570,54590,52563,54592,244.034,55.067,558.5,524.3,36000,2361, L,A320, DEN, DEP, IAD,0,243.619,55.925,557.965,524.434,36000,2699,-1,53720,35000, n/a, ZDC,53840,52680,2361,35000,52570,53700,1130,0.18495575221238938,166,375
36,ABJ3109_605,420,5060,9380,5051,9381,401.93,82.35,635.183,272.708,38076,3507, L,B738, RSW, OVR, EWR,0,401.571,82.832,634.844,273.751,38029,3919,-1,6250,38000, n/a, ZNY,8180,6040,3507,32300,5060,5850,790,0.25063291139240507,209,407
37,ABJ3116_684,261,70190,72790,70190,72792,417.8,243.5,539.375,262.234,35000,2700, L,B752, TIST, UNK, IAD,0,416.902,243.544,539.116,263.304,35000,3100,-1,71580,35000, n/a, ZDC,71590,70670,2700,9900,70190,70340,150,0.5666666666666667,194,279
38,ABJ3119_573,148,84920,86390,84917,86398,239.975,89.833,524.95,501.833,36000,3725, L,B738, LAS, DEP, IAD,0,239.484,90.602,524.751,501.991,36000,4184,-1,85960,34000, n/a, ZDC,86130,85080,3725,34000,84920,85940,1020,0.2,206,410
44,ABJ3133_31A,275,83650,86390,83647,86398,278.101,34.6,542.692,385.067,38000,5650, L,B739, IAH, DEP, BWI,0,277.549,35.302,542.6,385.439,38000,6205,-1,84990,38000, n/a, ZDC,85440,84110,5650,23000,83650,84050,400,0.47,206,394
47,ABJ3135_869,240,47030,49420,47024,49426,281.427,56.5,571.9,527,34000,2330, L,B739, ORD, DEP, BWI,0,281.022,57.186,571.493,527.076,34000,2593,-1,48180,34000, n/a, ZDC,48630,47150,2330,17853,47030,47420,390,0.4846153846153846,176,365
142,ABJ3496_556,231,50330,52630,50322,52637,247.194,35.358,527.3,489.067,30000,2446, L,B739, SAN, DEP, IAD,0,246.915,36.274,526.9,489.317,30000,2693,-1,51450,30000, n/a, ZDC,51790,50450,2446,7000,50330,50450,120,0.26666666666666666,202,234
146,ABJ368_74Y,192,82360,84400,82352,84406,448.5,242.546,659.95,528.031,33000,2333, L,B764, EDDM, UNK, IAD,0,447.734,242.927,659.235,528.498,33000,2832,-1,83520,33000, n/a, ZDC,83530,82380,2333,9900,82360,82520,160,0.4875,188,266
149,ABJ3704_891,399,45390,49370,45381,49377,396.276,19.292,627.225,382.323,30000,4375, L,B739, IAH, OVR, EWR,0,395.88,20.043,627.205,382.752,30000,4676,-1,46250,30000, n/a, ZNY,48400,46510,4375,10900,45390,45550,160,0.38125,194,255
150,ABJ3706_000,211,49750,51850,49750,51853,242.5,36.125,522.4,489.275,30000,7100, L,B738, LAS, DEP, IAD,0,241.833,37.058,522.334,489.537,30000,7650,-1,49950,16492, n/a, ZDC,50930,49950,7100,16500,49750,49940,190,0.03684210526315789,249,256
151,ABJ3707_462,398,45450,49560,45443,49563,396.976,83.125,626.8,234.9,34000,4323, L,B738, MROC, UNK, EWR,0,396.541,83.503,626.719,236.138,34000,4576,-1,46270,30000, n/a, ZNY,48480,46410,4323,30000,45450,46240,790,0.31139240506329113,202,448
152,ABJ3710_343,417,47830,52120,47821,52127,396.915,66.209,627.558,247.575,34000,4153, L,B739, MMUN, UNK, EWR,0,396.51,66.623,627.248,248.471,34000,4540,-1,48670,30000, n/a, ZNY,50930,48810,4153,29900,47830,48650,820,0.2951219512195122,214,456
163,ABJ3740_611,430,300,4720,296,4728,396.355,83.133,633.947,243.033,38000,8276, L,B737, SKBO, UNK, EWR,0,395.778,83.251,633.586,243.897,38000,8829,-1,1410,38000, n/a, ZNY,3530,1140,8276,38000,300,1380,1080,0.14074074074074075,266,418
167,ABJ3746_525,408,48140,52210,48132,52214,398.328,28.167,629.85,365.667,38000,3333, L,B738, MMMX, UNK, EWR,0,397.95,28.991,629.551,366.264,38000,3647,-1,49050,32000, n/a, ZNY,51210,49140,3333,15900,48140,48410,270,0.2,210,264
169,ABJ3748_065,223,76330,78550,76327,78555,266.975,48.9,548.062,514.3,36000,1825, L,B738, DEN, DEP, DCA,0,266.901,49.83,547.959,514.553,36000,2192,-1,77620,36000, n/a, ZDC,77840,76580,1825,17000,76330,76740,410,0.424390243902439,163,337
172,ABJ3751_547,249,80540,83020,80534,83024,249,92.6,520.286,294.733,34000,3776, L,B739, MCO, DEP, IAD,0,248.87,93.039,519.691,295.658,34000,4052,-1,81640,34000, n/a, ZDC,81960,80710,3776,34000,80540,81620,1080,0.16203703703703703,238,413
174,ABJ3753_099,273,11950,14810,11947,14816,243.734,74.4,520.836,237.25,36000,5584, L,B739, MCO, DEP, IAD,0,243.628,74.515,520.251,238.275,36000,5956,-1,13020,36000, n/a, ZDC,13650,12090,5584,30000,11950,12580,630,0.20634920634920634,254,384
175,ABJ3753_48F,74,85660,86390,85652,86399,241.4,173.038,533.062,522.131,24861,4233, L,B738, SFO, DEP, IAD,0,241.073,173.867,532.95,522.288,24729,4576,-1,86390,24861, n/a, ZDC,86390,85680,4233,24861,85660,86390,730,0.27945205479452057,223,427
177,ABJ3754_394,327,37820,41080,37819,41080,345.951,19.9,579.4,382.7,36000,3350, L,B739, IAH, OVR, PHL,0,345.396,20.95,579.268,383.258,36000,3893,-1,38960,36000, n/a, ZNY,40090,38190,3350,34000,37820,38750,930,0.24623655913978496,215,444
185,ABJ3787_182,275,63410,66150,63405,66156,267.567,21.754,518.898,381.577,38000,1808, L,B738, IAH, DEP, DCA,0,267.441,22.537,518.549,381.979,38000,2095,-1,64660,38000, n/a, ZDC,65140,63820,1808,5000,63410,63530,120,0.48333333333333334,155,213
186,ABJ3788_006,354,82270,85800,82265,85801,397.136,35.5,637.909,496.246,36000,3730, L,B739, IAH, OVR, EWR,0,396.561,36.546,637.578,496.729,36000,4079,-1,83410,32000, n/a, ZNY,84970,83740,3730,17000,82270,82640,370,0.21621621621621623,211,291
188,ABJ3792_870,240,77030,79420,77024,79427,281.257,41.254,542.6,522.1,36000,2200, L,B738, DEN, DEP, BWI,0,280.783,42.093,542.598,522.185,36000,2577,-1,78180,36000, n/a, ZDC,78640,77280,2200,32000,77030,77840,810,0.23333333333333334,190,379
189,ABJ3797_464,414,53100,57360,53098,57368,398.137,73.767,626.742,252.533,36000,3046, L,B739, MMUN, UNK, EWR,0,397.729,74.156,626.558,253.393,36000,3280,-1,54400,36000, n/a, ZNY,56170,54200,3046,36000,53100,54380,1280,0.1921875,204,450
190,ABJ3799_947,241,48400,50800,48393,50808,248.1,20.277,522.532,384.131,38000,3161, L,B738, IAH, DEP, IAD,0,248.079,21.011,521.993,384.556,38000,3429,-1,49780,38000, n/a, ZDC,49830,48620,3161,38000,48400,49770,1370,0.15328467153284672,224,434
192,ABJ3803_939,194,11670,13600,11662,13607,239.61,35.2,525.578,493.625,36000,6469, L,B739, IAH, DEP, IAD,0,239.066,35.891,525.372,494.149,36000,6777,-1,12580,36000, n/a, ZDC,12750,11670,6469,36000,11670,12560,890,0.18876404494382024,238,406
196,ABJ3820_72W,444,71070,75500,71062,75505,396.965,34.775,626.933,354.633,36000,5100, L,B738, ATL, OVR, EWR,0,396.495,35.432,626.914,355.175,36000,5667,-1,71760,36000, n/a, ZNY,74470,72000,5100,35900,71070,71730,660,0.2287878787878788,225,376
197,ABJ3827_863,431,79970,84390,79961,84394,395.648,72.792,626.992,240.992,34000,5584, L,B752, MCO, OVR, EWR,0,394.936,72.945,626.911,242.175,34000,6230,83800,80940,34000, n/a, ZNY,83180,81060,5584,27100,79970,80510,540,0.36666666666666664,218,416
199,ABJ3830_798,188,82270,84140,82265,84145,243.165,40.783,522.7,513.8,32000,4792, L,B739, SAN, DEP, IAD,0,242.642,41.705,522.689,513.831,32000,5241,-1,83350,32000, n/a, ZDC,83440,82460,4792,32000,82270,83330,1060,0.15,255,414
201,ABJ3833_045,216,49840,51990,49837,51990,245.976,32.2,522.4,491.4,32000,3300, L,B753, LAX, DEP, IAD,0,245.574,33.383,522.354,491.592,32000,3655,-1,50960,32000, n/a, ZDC,51010,50040,3300,10000,49840,50030,190,0.3368421052631579,195,259
206,ABJ3845_83A,202,64530,66540,64525,66542,247.111,52.083,560.183,520.534,32000,2253, L,B739, SFO, DEP, IAD,0,246.747,52.933,559.671,520.822,32000,2618,-1,65650,32000, n/a, ZDC,65830,64790,2253,32000,64530,65630,1100,0.17272727272727273,205,395
215,ABJ3875_497,259,48470,51050,48468,51057,267.4,20.246,517.017,380.323,34000,3150, L,B738, IAH, DEP, DCA,0,267.196,21.009,516.655,380.752,34000,3353,-1,49470,34000, n/a, ZDC,50080,48770,3150,34000,48470,49460,990,0.2606060606060606,166,424
218,ABJ3895_145,212,50140,52250,50136,52251,247.238,41.917,526.769,516.158,30000,2433, L,B753, DEN, DEP, IAD,0,246.921,43.372,526.608,516.458,30000,2707,-1,51170,30000, n/a, ZDC,51430,50300,2433,17000,50140,50490,350,0.2057142857142857,193,265
227,ABJ3927_691,433,3050,7490,3048,7490,399.168,75.3,636.367,257.1,36091,7733, L,B739, TPA, OVR, EWR,0,398.512,75.908,636.223,258.533,36031,7839,-1,4160,36000, n/a, ZNY,6280,4020,7733,34000,3050,3990,940,0.1702127659574468,252,412
231,ABJ3944_28P,262,63700,66440,63691,66442,248.775,91.683,522.918,262.033,34000,2376, L,B739, MCO, DEP, IAD,0,248.682,92.031,522.455,263.153,34000,2608,-1,64920,34000, n/a, ZDC,65230,63920,2376,34000,63700,64890,1190,0.18739495798319328,198,421
233,ABJ3945_46A,194,83430,85360,83423,85365,244.851,41.538,524.7,517.923,32000,4233, L,B753, LAX, DEP, IAD,0,244.475,42.464,524.687,518.221,32000,4616,-1,84430,31000, n/a, ZDC,84710,83430,4233,31000,83430,84400,970,0.19072164948453607,222,407
49,ABJ3145_561,386,47610,51610,47610,51617,397.2,68.608,627.3,242.475,34000,3400, L,B739, TPA, OVR, EWR,0,396.317,69.072,626.956,243.438,34000,4275,-1,48580,32000, n/a, ZNY,50480,48660,3400,31900,47610,48530,920,0.30217391304347824,206,484
55,ABJ3175_150,463,6420,11040,6420,11042,400.383,140.833,633.5,190.883,36000,6400, L,B739, MCO, OVR, EWR,0,400.139,141.412,632.675,191.771,36000,7017,-1,7480,36000, n/a, ZNY,10080,6770,6400,15558,6420,6630,210,0.6619047619047619,266,405
58,ABJ3184_848,458,68090,72660,68086,72668,411.409,15.877,643.4,392.769,38000,3715, L,B737, IAH, OVR, LGA,0,411.223,16.681,643.158,393.292,38000,4083,-1,69260,38000, n/a, ZNY,71580,69470,3715,15100,68090,68350,260,0.3153846153846154,181,263
63,ABJ3191_733,407,42210,46270,42210,46278,410.1,16.2,642.031,393.708,40000,6000, L,B737, IAH, OVR, LGA,0,409.533,17.024,641.782,393.977,40000,6675,-1,43160,36000, n/a, ZNY,45190,43360,6000,14900,42210,42370,160,0.46875,221,296
64,ABJ3194_195,448,46630,51100,46626,51106,411.354,15.099,648.7,390.25,38000,7200, L,B738, IAH, OVR, LGA,0,411.306,15.884,648.385,390.622,37996,7671,-1,47650,32000, n/a, ZNY,50080,47960,7200,14900,46630,46820,190,0.3263157894736842,241,303
66,ABJ3199_682,355,49630,53170,49625,53173,394.088,35.577,630.169,499.446,32000,5184, L,B753, LAX, OVR, EWR,0,393.388,36.532,629.985,499.582,32000,5720,-1,50660,32000, n/a, ZNY,52320,50890,5184,16900,49630,49980,350,0.27714285714285714,226,323
69,ABJ3213_909,258,82210,84900,82203,84904,247.51,81.8,518.394,271.633,38000,6191, L,B738, TPA, DEP, IAD,0,247.195,82.239,517.91,272.558,38000,6490,-1,83380,38000, n/a, ZDC,83690,82240,6191,31700,82210,82840,630,0.16825396825396827,241,347
73,ABJ3238_453,386,80390,84240,80385,84245,397.694,19.4,627.2,381.369,38000,4330, L,B772, IAH, OVR, EWR,0,397.173,20.269,627.141,381.867,38000,4810,-1,81800,38000, n/a, ZNY,83390,81550,4330,16900,80390,80640,250,0.392,204,302
76,ABJ3273_580,406,45850,50030,45842,50036,396.168,69.45,626.667,244.8,32100,4366, L,B739, FLL, OVR, EWR,0,395.751,69.887,626.533,245.743,32033,4739,-1,46740,32000, n/a, ZNY,48820,46780,4366,31900,45850,46720,870,0.28160919540229884,212,457
77,ABJ3275_015,202,49280,51290,49277,51293,247.8,43.125,524.675,516.733,32000,2150, L,B753, SFO, DEP, IAD,0,247.491,44.091,524.643,516.885,32000,2325,-1,50420,32000, n/a, ZDC,50490,49410,2150,32000,49280,50390,1110,0.2018018018018018,183,407
79,ABJ3279_374,18,86220,86390,86212,86398,243.902,233.634,526.834,521.601,10866,2333, L,B738, SFO, DEP, IAD,0,243.423,234.026,526.719,522.052,10494,2761,-1,86390,10866, n/a, ZDC,86390,86230,2333,10866,86220,86390,170,0.49411764705882355,182,266
81,ABJ3294_279,424,60730,65090,60729,65098,398.575,76.8,626.642,260.833,34000,3041, L,B738, TPA, OVR, EWR,0,398.232,77.193,626.166,261.627,34000,3461,-1,61920,34000, n/a, ZNY,63900,61920,3041,32900,60730,61600,870,0.23908045977011494,217,425
84,ABJ3302_331,195,84250,86190,84245,86199,236.627,41.575,526.3,516.6,38000,7833, L,B737, PHX, DEP, IAD,0,236.1,42.903,526.149,516.885,38000,8318,-1,85520,38000, n/a, ZDC,85390,84460,7833,13000,84250,84370,120,0.43333333333333335,233,285
90,ABJ3313_41N,195,81780,83720,81779,83721,245.647,52.2,560.05,517.9,34000,3907, L,B739, DEN, DEP, IAD,0,245.119,53.128,559.533,518.099,34000,4044,-1,82880,34000, n/a, ZDC,82930,81960,3907,34000,81780,82850,1070,0.17943925233644858,215,407
92,ABJ3315_807,266,49370,52150,49364,52152,248.4,80.762,524.303,238.331,34084,1700, L,B739, MCO, DEP, IAD,0,248.336,81.084,523.856,239.525,34030,1933,-1,50410,34000, n/a, ZDC,50980,49620,1700,17900,49370,49750,380,0.4921052631578947,185,372
94,ABJ3323_250,199,54210,56190,54206,56198,243.837,58.767,568.6,524.125,40000,3046, L,B738, ORD, DEP, IAD,0,243.23,59.351,568.212,524.273,40000,3496,55650,55470,40000, n/a, ZDC,55450,54220,3046,33000,54210,54950,740,0.2797297297297297,172,379
95,ABJ3327_827,210,63280,65370,63280,65372,247.7,34.884,523.5,499.708,34000,1900, L,B739, LAX, DEP, IAD,0,247.275,35.845,523.058,499.803,34000,2350,-1,64420,32000, n/a, ZDC,64510,63470,1900,32000,63280,64390,1110,0.19369369369369369,194,409
98,ABJ3342_97A,143,79700,81240,79700,81244,177.6,61.667,414.567,339.633,38000,1900, L,B737, ORD, DEP, RDU,0,177.242,62.236,413.868,339.983,37950,2408,-1,81040,37275, n/a, ZDC,80040,79740,1900,26000,79700,80250,550,0.4090909090909091,171,396
99,ABJ3343_163,122,44660,45870,44659,45879,181.185,58.33,353.392,334.9,33430,4038, L,B738, SFO, DEP, RDU,0,180.94,59.083,353.141,335.056,33300,4529,-1,45870,33430, n/a, ZDC,44950,44750,4038,22800,44660,45220,560,0.2732142857142857,232,385
101,ABJ3366_189,193,11100,13020,11092,13026,244.103,49.046,553.108,522.333,36076,2400, L,B738, DEN, DEP, IAD,0,243.641,49.944,552.926,522.496,36029,2813,-1,12350,36000, n/a, ZDC,12350,11110,2400,27400,11100,11800,700,0.21857142857142858,196,349
111,ABJ338_686,227,47830,50090,47821,50099,281.385,43.169,542.6,523.5,28000,2407, L,B739, DEN, DEP, BWI,0,281.016,43.964,542.594,523.552,28000,2710,-1,48730,28000, n/a, ZDC,49310,47960,2407,28000,47830,48710,880,0.25,188,408
113,ABJ3391_157,265,50050,52820,50049,52824,249.1,71.9,524.551,248.467,36000,1725, L,B739, MMUN, UNK, IAD,0,248.992,72.369,524.049,249.475,36000,1986,-1,51290,36000, n/a, ZDC,51620,50180,1725,36000,50050,51270,1220,0.2360655737704918,174,462
118,ABJ3404_533,263,48650,51400,48642,51405,248.3,69.892,523.939,245.783,36000,2146, L,B739, TPA, DEP, IAD,0,248.224,70.355,523.546,246.752,36000,2363,-1,49890,36000, n/a, ZDC,50290,48870,2146,27000,48650,49380,730,0.3698630136986301,184,454
119,ABJ3408_401,456,10740,15290,10732,15297,404.358,147.377,637.683,184.7,28000,2861, L,B739, FLL, OVR, EWR,0,404.196,147.738,637.375,185.53,28000,3043,-1,11550,26000, n/a, ZNY,14360,11160,2861,26000,10740,11530,790,0.289873417721519,202,431
